LAMMPS (2 Aug 2023 - Update 2)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:98)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  triclinic box = (0 0 0) to (27.559611 46.003163 32.235222) with tilt (24.757443 0 0)
WARNING: Triclinic box skew is large. LAMMPS will run inefficiently. (src/domain.cpp:220)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  1104 atoms
  reading velocities ...
  1104 velocities
  read_data CPU = 0.060 seconds
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 8
  ghost atom cutoff = 8
  binsize = 4, bins = 14 12 9
  2 neighbor lists, perpetual/occasional/extra = 2 0 0
  (1) pair meam, perpetual
      attributes: full, newton on
      pair build: full/bin/atomonly
      stencil: full/bin/3d
      bin: standard
  (2) pair meam, perpetual, half/full from (1)
      attributes: half, newton on
      pair build: halffull/newton
      stencil: none
      bin: none
Setting up cg style minimization ...
  Unit style    : metal
  Current step  : 0
WARNING: Energy due to 3 extra global DOFs will be included in minimizer energies
 (src/min.cpp:228)
Per MPI rank memory allocation (min/avg/max) = 11.61 | 11.61 | 11.61 Mbytes
   Step         PotEng         TotEng          Fmax          Press          Volume    
         0  -1347.8961     -1347.8961      0.47835331    -8108.3192      40868.758    
        10  -1348.3237     -1348.3237      0.47428521    -7688.6386      40791.781    
        20  -1348.7258     -1348.7258      0.47017005    -7264.0223      40715.038    
        30  -1349.1022     -1349.1022      0.46600786    -6834.5243      40638.545    
        40  -1349.4525     -1349.4525      0.46179929    -6400.2335      40562.319    
        50  -1349.7766     -1349.7766      0.45754499    -5961.255       40486.382    
        60  -1350.0744     -1350.0744      0.45324572    -5517.7323      40410.758    
        70  -1350.3457     -1350.3457      0.44890262    -5069.8518      40335.48     
        80  -1350.5902     -1350.5902      0.44451732    -4617.862       40260.586    
        90  -1350.808      -1350.808       0.44009195    -4162.0939      40186.126    
       100  -1350.9989     -1350.9989      0.43562905    -3702.9942      40112.169    
       110  -1351.1628     -1351.1628      0.43113291    -3241.197       40038.804    
       120  -1351.2998     -1351.2998      0.42660937    -2777.6136      39966.161    
       130  -1351.41       -1351.41        0.42206716    -2313.6416      39894.438    
       140  -1351.4937     -1351.4937      0.41762557    -1851.583       39823.955    
       150  -1351.5514     -1351.5514      0.42145703    -1395.7486      39755.319    
       160  -1351.5842     -1351.5842      0.42513524    -956.15636      39689.941    
       170  -1351.5956     -1351.5956      0.42828928    -574.02547      39633.699    
       180  -1351.6567     -1351.6567      0.424093      -559.54675      39630.661    
       190  -1351.7058     -1351.7058      0.42051937    -567.64644      39631.162    
       200  -1351.7935     -1351.7935      0.41414014    -579.04316      39631.624    
       210  -1351.9451     -1351.9451      0.40395071    -487.67884      39616.272    
       220  -1351.9881     -1351.9881      0.40080105    -494.66254      39616.729    
       230  -1352.0269     -1352.0269      0.39794808    -500.95614      39617.144    
       240  -1352.067      -1352.067       0.39500329    -507.41969      39617.574    
       250  -1352.116      -1352.116       0.39139745    -515.28857      39618.1      
       260  -1352.6858     -1352.6858      0.3654485     -525.63449      39612.861    
       270  -1352.7345     -1352.7345      0.36352463    -532.36744      39613.338    
       280  -1352.77       -1352.77        0.3621088     -537.73379      39613.759    
       290  -1352.8016     -1352.8016      0.3608332     -542.35675      39614.115    
       300  -1352.8326     -1352.8326      0.35957255    -546.85964      39614.465    
       310  -1352.8654     -1352.8654      0.35822444    -551.60266      39614.836    
       320  -1352.9047     -1352.9047      0.3565883     -557.26069      39615.283    
       330  -1352.9919     -1352.9919      0.35284642    -564.89291      39615.582    
       340  -1353.2538     -1353.2538      0.33967771    -461.33445      39598.257    
       350  -1353.2874     -1353.2874      0.33810125    -465.18629      39598.559    
       360  -1353.3154     -1353.3154      0.33677448    -469.00353      39598.902    
       370  -1353.3414     -1353.3414      0.33553189    -472.41245      39599.205    
       380  -1353.3669     -1353.3669      0.33430178    -475.73888      39599.503    
       390  -1353.3933     -1353.3933      0.33302254    -479.14752      39599.811    
       400  -1353.4222     -1353.4222      0.33160504    -482.86501      39600.149    
       410  -1353.4583     -1353.4583      0.32982003    -487.45895      39600.572    
       420  -1353.5613     -1353.5613      0.32451243    -492.28883      39600.612    
       430  -1353.6649     -1353.6649      0.31908732    -504.91403      39601.843    
       440  -1353.6901     -1353.6901      0.31773482    -507.92384      39602.144    
